4
3
-16.346 393.417 962.377
1115.76 500.108 1152.03
-1134.53 554.864 1204.55
7
-3.06793 86.2608 881.03
199.761 103.207 769.16
-208.559 131.062 765.664
314.941 115.743 966.811
114.041 97.4164 808.461
114.041 97.4164 808.461
-310.709 115.919 778.174
5
-760.75 333.496 472.156
-260.847 355.284 350.735
-28.7607 351.943 -781.464
-1137.92 363.536 -466.256
769.411 350.184 -349.763
7
-0.693868 53.0339 446.627
-422.85 125.92 770.958
-223.517 158.726 1002.82
218.64 158.078 996.064
363.062 132.967 733.018
-147.383 -24.5689 939.939
111.36 -1.56759 943.659
